ID,Remarks,N,Average_GFLOPS/s,Averange_Time/s,GFLOPS,GFLOPS/s_Iteration1
1,v1,256,14.762539,0.002291,0.033817,14.762539
2,v1,512,97.301076,0.00277,0.269484,97.301076
3,v1,768,327.019321,0.002778,0.908329,327.019321
4,v1,1024,328.315111,0.006554,2.151678,328.315111
5,v1,1280,472.638343,0.008888,4.200858,472.638343
6,v1,1536,385.922685,0.018805,7.257194,385.922685
7,v1,1792,444.189855,0.025939,11.522015,444.189855
8,v1,2048,431.107066,0.03989,17.196646,431.107066
9,v1,3072,245.958989,0.235892,58.019807,245.958989
10,v1,4096,225.659935,0.609351,137.506062,225.659935
11,v1,5120,231.743662,1.158782,268.540314,231.743662
12,v1,6144,215.918364,2.148995,464.007463,215.918364
13,v1,7168,213.728586,3.447327,736.792412,213.728586
14,v1,8192,221.631128,4.962209,1099.780063,221.631128
15,v1,10240,201.062939,10.68274,2147.903078,201.062939
16,v1,12288,214.427121,17.308705,3711.455724,214.427121
17,v1,16384,177.503222,49.560603,8797.166764,177.503222
18,v1,20480,206.055549,83.383083,17181.546906,206.055549
1,v2,256,5.720964,0.005911,0.033817,5.720964
2,v2,512,38.524129,0.006995,0.269484,38.524129
3,v2,768,156.727391,0.005796,0.908329,156.727391
4,v2,1024,319.471822,0.006735,2.151678,319.471822
5,v2,1280,461.186434,0.009109,4.200858,461.186434
6,v2,1536,470.644406,0.01542,7.257194,470.644406
7,v2,1792,528.750976,0.021791,11.522015,528.750976
8,v2,2048,378.848405,0.045392,17.196646,378.848405
9,v2,3072,369.766026,0.15691,58.019807,369.766026
10,v2,4096,342.324989,0.401683,137.506062,342.324989
11,v2,5120,311.495074,0.862101,268.540314,311.495074
12,v2,6144,294.454589,1.57582,464.007463,294.454589
13,v2,7168,311.610743,2.364464,736.792412,311.610743
14,v2,8192,297.583688,3.6957,1099.780063,297.583688
15,v2,10240,289.740386,7.413199,2147.903078,289.740386
16,v2,12288,274.080316,13.54149,3711.455724,274.080316
17,v2,16384,217.180755,40.506199,8797.166764,217.180755
18,v2,20480,261.188628,65.78214,17181.546906,261.188628
1,v0,256,0.84012,0.040252,0.033817,0.84012
2,v0,512,0.487498,0.55279,0.269484,0.487498
3,v0,768,0.767196,1.18396,0.908329,0.767196
1,v3,256,185.093305,0.000183,0.033817,185.093305
2,v3,512,638.442134,0.000422,0.269484,638.442134
3,v3,768,506.259839,0.001794,0.908329,506.259839
4,v3,1024,528.900707,0.004068,2.151678,528.900707
5,v3,1280,744.052069,0.005646,4.200858,744.052069
6,v3,1536,675.150271,0.010749,7.257194,675.150271
7,v3,1792,778.524566,0.0148,11.522015,778.524566
8,v3,2048,528.371275,0.032547,17.196646,528.371275
9,v3,3072,484.629171,0.11972,58.019807,484.629171
10,v3,4096,458.92798,0.299624,137.506062,458.92798
11,v3,5120,418.944222,0.640993,268.540314,418.944222
12,v3,6144,373.552056,1.242149,464.007463,373.552056
13,v3,7168,400.501701,1.839674,736.792412,400.501701
14,v3,8192,344.985348,3.187904,1099.780063,344.985348
15,v3,10240,335.50498,6.402001,2147.903078,335.50498
16,v3,12288,316.457013,11.728151,3711.455724,316.457013
